epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.407,0.97223,3.36679,1.50306,0.00818,1,0.1899,0.11455,0.80283,3.41707,1.49176,0.000361917,0.000361917,0.000361917
2,208.196,1.05254,2.8575,1.54836,0.14862,0.32217,0.25916,0.11863,1.19872,2.88925,2.00354,0.00072935,0.00072935,0.00072935
3,230.446,1.16411,2.48532,1.6309,0.17224,0.29429,0.12003,0.05007,1.79292,2.86671,2.53694,0.00109385,0.00109385,0.00109385
4,251.472,1.16134,2.35525,1.60748,0.47766,0.29236,0.31042,0.14647,1.55686,2.59469,2.32935,0.0010978,0.0010978,0.0010978
5,273.138,1.1583,2.21757,1.5939,0.21897,0.42594,0.23296,0.12823,1.42465,2.80431,2.42986,0.0010934,0.0010934,0.0010934
6,296.892,1.13479,2.13627,1.5981,0.31451,0.44147,0.25346,0.12063,1.54835,2.66202,2.30165,0.001089,0.001089,0.001089
7,318.04,1.11488,2.04848,1.56734,0.49813,0.22201,0.15475,0.08051,1.35743,3.9864,2.24154,0.0010846,0.0010846,0.0010846
8,340.095,1.09042,1.95417,1.55538,0.3535,0.49183,0.40743,0.2294,1.31403,2.14912,2.10479,0.0010802,0.0010802,0.0010802
9,362.964,1.11414,1.84189,1.56304,0.2911,0.53073,0.36047,0.20087,1.23099,2.08806,2.02332,0.0010758,0.0010758,0.0010758
10,383.79,1.0912,1.81811,1.56116,0.39669,0.47946,0.41057,0.21195,1.34866,2.01433,2.02946,0.0010714,0.0010714,0.0010714
11,404.123,1.08963,1.74928,1.5477,0.58251,0.6236,0.65441,0.3941,1.09384,1.55805,1.82325,0.001067,0.001067,0.001067
12,424.878,1.03567,1.62907,1.50666,0.55255,0.52712,0.54795,0.32342,1.22759,1.65046,1.90177,0.0010626,0.0010626,0.0010626
13,445.855,1.06655,1.64441,1.52558,0.49701,0.47172,0.51626,0.31547,1.13653,1.82644,1.76683,0.00105821,0.00105821,0.00105821
14,466.601,1.06027,1.58024,1.52499,0.68893,0.53208,0.6364,0.39712,1.09061,1.65106,1.76749,0.00105381,0.00105381,0.00105381
15,488.505,1.06933,1.56655,1.51947,0.58986,0.71562,0.69644,0.43955,1.07801,1.37317,1.72764,0.00104941,0.00104941,0.00104941
16,514.774,1.05014,1.56301,1.49914,0.66538,0.63195,0.70122,0.43145,1.07582,1.46875,1.75344,0.00104501,0.00104501,0.00104501
17,535.049,1.025,1.57359,1.49517,0.64333,0.66751,0.64473,0.38316,1.18249,1.41926,1.85049,0.00104061,0.00104061,0.00104061
18,555.762,1.03463,1.50098,1.49102,0.58572,0.6303,0.63697,0.35078,1.27012,1.54662,1.94061,0.00103621,0.00103621,0.00103621
19,576.091,1.00116,1.466,1.47826,0.67307,0.6337,0.69231,0.45297,1.05951,1.25054,1.81601,0.00103181,0.00103181,0.00103181
20,596.939,1.01238,1.44049,1.47555,0.45735,0.60762,0.57458,0.37748,1.10912,1.82635,1.76227,0.00102741,0.00102741,0.00102741
21,618.465,0.96566,1.39734,1.45921,0.52507,0.64312,0.62777,0.37403,1.14651,1.72456,1.8054,0.00102301,0.00102301,0.00102301
22,641.214,1.02049,1.40855,1.49886,0.5972,0.55013,0.5885,0.35051,1.22375,1.66045,1.87248,0.00101861,0.00101861,0.00101861
23,662.195,0.9689,1.35553,1.44372,0.70094,0.52442,0.60866,0.38794,1.10182,1.63573,1.74514,0.00101421,0.00101421,0.00101421
24,683.034,0.99593,1.39006,1.47158,0.5781,0.60457,0.58948,0.38604,1.06059,1.67965,1.73472,0.00100981,0.00100981,0.00100981
25,703.842,0.95815,1.35325,1.45784,0.57601,0.63505,0.62768,0.39868,1.14312,1.70415,1.82381,0.00100541,0.00100541,0.00100541
26,727.485,0.96786,1.38971,1.43533,0.6689,0.66241,0.70566,0.46757,1.0159,1.25239,1.70487,0.00100101,0.00100101,0.00100101
27,749.105,0.93988,1.31039,1.4219,0.58666,0.56058,0.61385,0.36295,1.15556,1.70369,1.8296,0.000996611,0.000996611,0.000996611
28,771.435,0.97289,1.26559,1.45367,0.68098,0.58306,0.66206,0.41496,1.19342,1.34931,1.89713,0.000992212,0.000992212,0.000992212
29,793.064,0.93213,1.28316,1.41555,0.53593,0.54438,0.49104,0.32514,1.02281,2.26335,1.7255,0.000987812,0.000987812,0.000987812
30,814.217,0.91045,1.23504,1.3959,0.69039,0.65835,0.69656,0.46493,1.11296,1.23225,1.79248,0.000983413,0.000983413,0.000983413
31,835.148,0.93975,1.22424,1.44046,0.69671,0.60548,0.69949,0.43732,1.12322,1.3469,1.78908,0.000979013,0.000979013,0.000979013
32,856.194,0.90448,1.2106,1.39837,0.61278,0.76247,0.72456,0.47645,1.06163,1.25317,1.72014,0.000974614,0.000974614,0.000974614
33,876.606,0.92635,1.20603,1.41454,0.73385,0.69192,0.73661,0.49297,1.02164,1.10722,1.70576,0.000970214,0.000970214,0.000970214
34,898.567,0.89105,1.17349,1.38733,0.63062,0.66433,0.71996,0.47458,1.00305,1.32971,1.65248,0.000965815,0.000965815,0.000965815
35,920.788,0.92555,1.24105,1.41111,0.62151,0.59243,0.623,0.41004,1.09649,1.53595,1.76484,0.000961415,0.000961415,0.000961415
36,945.685,0.90556,1.19088,1.39632,0.76097,0.68054,0.75862,0.52544,0.97511,1.09487,1.69448,0.000957015,0.000957015,0.000957015
37,966.887,0.90178,1.16698,1.39532,0.75888,0.75741,0.80693,0.53957,0.98372,1.0709,1.6273,0.000952616,0.000952616,0.000952616
